date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:02	114595/114595	---M-Z	200	added ('OK')	text/html	etag:%22703847-1762319122;gz%22	https://mtc1.jankariweb.online/	F:/Web/Blog/mtc1.jankariweb.online/index.html	(from )
19:07:02	119/119	---M-Z	200	added ('OK')	text/plain	etag:%22769784-1762338649;gz%22	https://mtc1.jankariweb.online/robots.txt		(from )
19:07:02	45719/45719	---M-Z	200	added ('OK')	text/css	etag:%22b297-68abe9ee-51d560a37727bca2;gz%22	https://mtc1.jankariweb.online/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.10	F:/Web/Blog/mtc1.jankariweb.online/wp-content/themes/astra/assets/css/minified/main.min4641.css	(from https://mtc1.jankariweb.online/)
19:07:02	116345/116345	---M-Z	200	added ('OK')	text/css	etag:%221c679-68ff09c2-fa666e46d44e567f;gz%22	https://mtc1.jankariweb.online/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	F:/Web/Blog/mtc1.jankariweb.online/wp-includes/css/dist/block-library/style.min32d4.css	(from https://mtc1.jankariweb.online/)
19:07:02	73141/73141	---M-Z	200	added ('OK')	application/rss+xml	etag:%2269e3942241cb59e8b90e9ff2be322f61%22	https://mtc1.jankariweb.online/feed/	F:/Web/Blog/mtc1.jankariweb.online/feed/index.html	(from https://mtc1.jankariweb.online/)
19:07:02	846/846	---M-Z	200	added ('OK')	text/xml	date:Thu,%2006%20Nov%202025%2013:37:12%20GMT	https://mtc1.jankariweb.online/xmlrpc.php?rsd	F:/Web/Blog/mtc1.jankariweb.online/xmlrpc0db0.php	(from https://mtc1.jankariweb.online/)
19:07:02	1143/1143	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Nov%202025%2013:37:12%20GMT	https://mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-32x32.jpg	F:/Web/Blog/mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-32x32.jpg	(from https://mtc1.jankariweb.online/)
19:07:03	12568/12568	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Nov%202025%2013:37:12%20GMT	https://mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-192x192.jpg	F:/Web/Blog/mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-192x192.jpg	(from https://mtc1.jankariweb.online/)
19:07:03	11787/11787	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Nov%202025%2013:37:12%20GMT	https://mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-180x180.jpg	F:/Web/Blog/mtc1.jankariweb.online/wp-content/uploads/2025/08/cropped-IMG_20250825_101133_790-180x180.jpg	(from https://mtc1.jankariweb.online/)
19:07:03	1416/1416	---M-Z	200	added ('OK')	application/rss+xml	etag:%2269e3942241cb59e8b90e9ff2be322f61%22	https://mtc1.jankariweb.online/comments/feed/	F:/Web/Blog/mtc1.jankariweb.online/comments/feed/index.html	(from https://mtc1.jankariweb.online/)
19:07:03	25544/25544	---M-Z	200	added ('OK')	application/x-javascript	etag:%2263c8-68abe9ee-86eca2ebe0e14735;gz%22	https://mtc1.jankariweb.online/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.11.10	F:/Web/Blog/mtc1.jankariweb.online/wp-content/themes/astra/assets/js/minified/frontend.min4641.js	(from https://mtc1.jankariweb.online/)
19:07:06	93388/93388	---MCZ	200	added ('OK')	text/html	etag:%22924671-1762412846;gz%22	https://mtc1.jankariweb.online/contact-us/	F:/Web/Blog/mtc1.jankariweb.online/contact-us/index.html	(from https://mtc1.jankariweb.online/)
19:07:06	299917/299917	---MCZ	200	added ('OK')	application/json	etag:%22995994-1762436233;gz%22	https://mtc1.jankariweb.online/wp-json/	F:/Web/Blog/mtc1.jankariweb.online/wp-json/index.html	(from https://mtc1.jankariweb.online/)
19:07:06	93945/93945	---MCZ	200	added ('OK')	text/html	etag:%22921339-1762411790;gz%22	https://mtc1.jankariweb.online/about-us/	F:/Web/Blog/mtc1.jankariweb.online/about-us/index.html	(from https://mtc1.jankariweb.online/)
19:07:07	93680/93680	---MCZ	200	added ('OK')	text/html	etag:%22922683-1762412208;gz%22	https://mtc1.jankariweb.online/dmca/	F:/Web/Blog/mtc1.jankariweb.online/dmca/index.html	(from https://mtc1.jankariweb.online/)
19:07:07	98032/98032	---MCZ	200	added ('OK')	text/html	etag:%22922691-1762412211;gz%22	https://mtc1.jankariweb.online/privacy-policy/	F:/Web/Blog/mtc1.jankariweb.online/privacy-policy/index.html	(from https://mtc1.jankariweb.online/)
19:07:07	115086/115086	---MCZ	200	added ('OK')	text/html	etag:%22921472-1762411832;gz%22	https://mtc1.jankariweb.online/category/blog/	F:/Web/Blog/mtc1.jankariweb.online/category/blog/index.html	(from https://mtc1.jankariweb.online/)
